policy,budget,outcome,no_email_rate,mens_rate,womens_rate,contact_rate,budget_feasible,incremental_value,ci_low,ci_high
all_womens,0.4,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.4,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.4,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.45,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.45,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.45,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.5,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.5,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.5,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.55,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.55,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.55,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.6,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.6,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.6,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.65,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.65,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.65,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.7,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.7,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.7,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.75,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.75,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.75,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.8,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.8,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.8,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.85,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.85,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.85,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.9,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.9,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.9,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,0.95,visit,0.0,0.0,1.0,1.0,False,0.04546875,0.0334921875,0.0590625
all_womens,0.95,conversion,0.0,0.0,1.0,1.0,False,0.003984375,0.00046875,0.0075
all_womens,0.95,spend,0.0,0.0,1.0,1.0,False,0.51331640625,-0.011462519531250024,1.1025710742187498
all_womens,1.0,visit,0.0,0.0,1.0,1.0,True,0.04546875,0.0334921875,0.0590625
all_womens,1.0,conversion,0.0,0.0,1.0,1.0,True,0.003984375,0.00046875,0.0075
all_womens,1.0,spend,0.0,0.0,1.0,1.0,True,0.51331640625,-0.011462519531250024,1.1025710742187498
random,0.05,visit,0.95,0.027265625,0.022734375,0.05,True,0.004921875,0.002220703125,0.008560546874999998
random,0.05,conversion,0.95,0.027265625,0.022734375,0.05,True,0.000703125,0.0,0.001640625
random,0.05,spend,0.95,0.027265625,0.022734375,0.05,True,0.050130468750000004,0.0,0.14490410156249964
random,0.1,visit,0.9,0.04953125,0.05046875,0.1,True,0.0084375,0.003861328125,0.013248046874999997
random,0.1,conversion,0.9,0.04953125,0.05046875,0.1,True,0.001171875,-0.000234375,0.0030585937499999958
random,0.1,spend,0.9,0.04953125,0.05046875,0.1,True,0.0575578125,-0.065292890625,0.20128171874999992
random,0.15,visit,0.85,0.076796875,0.073203125,0.15,True,0.015,0.008203125,0.018873046874999997
random,0.15,conversion,0.85,0.076796875,0.073203125,0.15,True,0.0,-0.00140625,0.001294921874999998
random,0.15,spend,0.85,0.076796875,0.073203125,0.15,True,0.04043906250000001,-0.18194525390625,0.28522060546874983
random,0.2,visit,0.8,0.0990625,0.1009375,0.2,True,0.015,0.008068359375,0.020636718749999994
random,0.2,conversion,0.8,0.0990625,0.1009375,0.2,True,0.000234375,-0.0015292968749999998,0.001875
