policy,budget,budget_feasible,contact_rate,incremental_spend_per_customer,gross_margin,email_cost,incremental_revenue,gross_profit,campaign_cost,net_profit,roi,value_per_1000,break_even_cost
propensity,0.1,True,0.1,0.04572773437500002,0.7,0.1,585.3150000000003,409.7205000000002,128.00000000000003,281.72050000000013,2.2009414062500006,22.00941406250001,0.3200941406250001
propensity,0.15,True,0.15,0.06636093750000002,0.3,0.02,849.4200000000003,254.82600000000008,38.4,216.42600000000007,5.636093750000002,16.908281250000005,0.13272187500000004
propensity,0.15,True,0.15,0.06636093750000002,0.3,0.05,849.4200000000003,254.82600000000008,96.0,158.82600000000008,1.654437500000001,12.408281250000007,0.13272187500000004
propensity,0.15,True,0.15,0.06636093750000002,0.3,0.1,849.4200000000003,254.82600000000008,192.0,62.82600000000008,0.3272187500000004,4.908281250000006,0.13272187500000004
propensity,0.15,True,0.15,0.06636093750000002,0.5,0.02,849.4200000000003,424.71000000000015,38.4,386.3100000000002,10.060156250000006,30.180468750000014,0.22120312500000008
propensity,0.15,True,0.15,0.06636093750000002,0.5,0.05,849.4200000000003,424.71000000000015,96.0,328.71000000000015,3.4240625000000016,25.68046875000001,0.22120312500000008
propensity,0.15,True,0.15,0.06636093750000002,0.5,0.1,849.4200000000003,424.71000000000015,192.0,232.71000000000015,1.2120312500000008,18.18046875000001,0.22120312500000008
propensity,0.15,True,0.15,0.06636093750000002,0.7,0.02,849.4200000000003,594.5940000000002,38.4,556.1940000000002,14.484218750000005,43.45265625000001,0.3096843750000001
propensity,0.15,True,0.15,0.06636093750000002,0.7,0.05,849.4200000000003,594.5940000000002,96.0,498.59400000000016,5.193687500000002,38.95265625000002,0.3096843750000001
propensity,0.15,True,0.15,0.06636093750000002,0.7,0.1,849.4200000000003,594.5940000000002,192.0,402.59400000000016,2.096843750000001,31.452656250000015,0.3096843750000001
propensity,0.2,True,0.2,0.07626093750000003,0.3,0.02,976.1400000000003,292.8420000000001,51.2,241.6420000000001,4.719570312500002,18.878281250000008,0.11439140625000004
propensity,0.2,True,0.2,0.07626093750000003,0.3,0.05,976.1400000000003,292.8420000000001,128.00000000000003,164.84200000000007,1.2878281250000003,12.878281250000006,0.11439140625000004
propensity,0.2,True,0.2,0.07626093750000003,0.3,0.1,976.1400000000003,292.8420000000001,256.00000000000006,36.84200000000004,0.14391406250000013,2.8782812500000032,0.11439140625000004
propensity,0.2,True,0.2,0.07626093750000003,0.5,0.02,976.1400000000003,488.07000000000016,51.2,436.8700000000002,8.532617187500003,34.13046875000001,0.19065234375000006
propensity,0.2,True,0.2,0.07626093750000003,0.5,0.05,976.1400000000003,488.07000000000016,128.00000000000003,360.07000000000016,2.813046875000001,28.130468750000013,0.19065234375000006
propensity,0.2,True,0.2,0.07626093750000003,0.5,0.1,976.1400000000003,488.07000000000016,256.00000000000006,232.0700000000001,0.9065234375000002,18.130468750000006,0.19065234375000006
propensity,0.2,True,0.2,0.07626093750000003,0.7,0.02,976.1400000000003,683.2980000000002,51.2,632.0980000000002,12.345664062500003,49.38265625000002,0.2669132812500001
propensity,0.2,True,0.2,0.07626093750000003,0.7,0.05,976.1400000000003,683.2980000000002,128.00000000000003,555.2980000000002,4.338265625000001,43.38265625000002,0.2669132812500001
propensity,0.2,True,0.2,0.07626093750000003,0.7,0.1,976.1400000000003,683.2980000000002,256.00000000000006,427.2980000000002,1.6691328125000002,33.38265625000001,0.2669132812500001
propensity,0.25,True,0.25,0.14822695312500003,0.3,0.02,1897.3050000000005,569.1915000000001,64.0,505.19150000000013,7.893617187500002,39.46808593750001,0.17787234375000002
propensity,0.25,True,0.25,0.14822695312500003,0.3,0.05,1897.3050000000005,569.1915000000001,160.0,409.19150000000013,2.557446875000001,31.968085937500007,0.17787234375000002
propensity,0.25,True,0.25,0.14822695312500003,0.3,0.1,1897.3050000000005,569.1915000000001,320.0,249.19150000000013,0.7787234375000004,19.46808593750001,0.17787234375000002
