policy,budget,outcome,contact_rate,contacts,budget_feasible,incremental_value,ci_low,ci_high,delta_vs_propensity,delta_ci_low,delta_ci_high
x_tree,0.2,visit,0.2,2560,True,0.0233203125,0.017692382812500008,0.029416992187500005,0.0031640624999999985,-0.003166992187499995,0.009609374999999996
x_tree,0.2,spend,0.2,2560,True,0.20574960937500003,-0.09976959960937493,0.4953181933593751,0.12948867187500002,-0.06908715820312498,0.319840341796875
x_tree,0.25,visit,0.25,3200,True,0.0271875,0.02094433593750001,0.03340429687500001,0.0062109374999999994,-0.000717773437500002,0.013710937499999992
x_tree,0.25,spend,0.25,3200,True,0.2540671875,-0.06385423828124993,0.5757858105468749,0.10584023437499998,-0.08037922851562496,0.29755444335937514
x_tree,0.3,visit,0.3,3840,True,0.0303515625,0.024351562500000007,0.037051757812500016,0.004101562499999992,-0.003641601562499999,0.011604492187500001
x_tree,0.3,spend,0.3,3840,True,0.24844453125000002,-0.07075148437499994,0.5709033984375,0.008169140624999932,-0.2413518457031249,0.26242001953125005
x_tree,0.35,visit,0.35,4480,True,0.0333984375,0.026124023437500008,0.040432617187500006,0.003164062499999995,-0.003641601562499999,0.011604492187499992
x_tree,0.35,spend,0.35,4480,True,0.27007851562500007,-0.05164019531249988,0.5946109863281251,-0.009444140625000041,-0.2629004296875,0.24728745117187514
x_tree,0.4,visit,0.4,5120,True,0.0365625,0.02823925781250002,0.04488574218750001,0.004570312499999986,-0.0031757812500000154,0.013245117187499988
x_tree,0.4,spend,0.4,5120,True,0.2790281250000001,-0.04273860351562486,0.600638173828125,-0.08948437499999995,-0.32714138671874987,0.14550205078125014
x_tree,0.45,visit,0.45,5760,True,0.0399609375,0.03128320312500002,0.04875878906250001,0.005156249999999994,-0.0027070312500000115,0.013250976562499994
x_tree,0.45,spend,0.45,5760,True,0.30311250000000006,-0.005379462890624896,0.64913349609375,-0.025665234375000068,-0.28684004882812497,0.23685799804687502
x_tree,0.5,visit,0.5,6400,True,0.0430078125,0.033380859375000016,0.05157714843750001,0.00761718749999999,0.001045898437499992,0.014891601562499994
x_tree,0.5,spend,0.5,6400,True,0.33414609375000004,0.0241478613281251,0.6911693261718749,-0.07388789062500001,-0.32707875000000014,0.16484698242187504
x_tree,0.55,visit,0.55,7040,True,0.0427734375,0.03186621093750002,0.05192871093750002,0.003984374999999991,-0.003398437499999997,0.010918945312500001
x_tree,0.55,spend,0.55,7040,True,0.19689843750000008,-0.22149272460937489,0.565597470703125,-0.030578906250000065,-0.23027455078124995,0.18704047851562502
x_tree,0.6,visit,0.6,7680,True,0.04546875,0.03595605468750002,0.05532714843750001,0.004804687500000002,-0.0025810546875000002,0.012667968750000003
x_tree,0.6,spend,0.6,7680,True,0.2390097656250001,-0.17950013671874993,0.6082360546875002,-0.02023476562500004,-0.268702939453125,0.20317054687500008
x_tree,0.65,visit,0.65,8320,True,0.04734375,0.036665039062500016,0.057544921875000016,0.003164062499999988,-0.004456054687500002,0.0111416015625
x_tree,0.65,spend,0.65,8320,True,0.2912097656250001,-0.13072957031249985,0.6728001855468753,0.03547968750000002,-0.20066765624999996,0.24380334960937514
x_tree,0.7,visit,0.7,8960,True,0.048515625,0.03714843750000002,0.05932031250000003,-0.0003515625000000064,-0.0069199218749999986,0.0069287109374999946
x_tree,0.7,spend,0.7,8960,True,0.35812851562500014,-0.09339594726562492,0.7197149414062503,0.012990234374999965,-0.19835871093750007,0.24556113281250003
x_tree,0.75,visit,0.75,9600,True,0.0498046875,0.037957031250000016,0.061409179687500016,-0.0005859375000000014,-0.006574218750000005,0.006799804687500001
x_tree,0.75,spend,0.75,9600,True,0.36138046875000013,-0.07927300781249977,0.771683818359375,-0.02120742187500002,-0.2646404003906249,0.24649825195312491
x_tree,0.8,visit,0.8,10240,True,0.05203125,0.04135253906250002,0.06295605468750001,-0.0001171874999999975,-0.006808593750000001,0.006802734374999995
x_tree,0.8,spend,0.8,10240,True,0.48205664062500003,0.04075907226562517,0.8892021386718751,0.031896093749999965,-0.312857109375,0.2639934374999999
